Original_Name,Clean_Name,Latitude,Longitude,Found_Address
カ榮,カ榮,35.3643361,139.5540327,"栄区, 横浜市, 神奈川県, 231-0017, 日本"
サイパン,サイパン,15.1204908,145.7296252,"Saipan International Airport, Pendan Street, As Gonna, As Lito, Saipan Municipality, Northern Mariana Islands, 96950, United States"
タロコ,タロコ,24.2134391,121.4903046,"太魯閣國家公園, 花蓮縣, 972, 臺灣"
パラオ,パラオ,5.3783537,132.9102573,Belau
リガ,リガ,56.9493977,24.1051846,"Rīga, Latvija"
一ノ關,一ノ關,38.9268807,141.1389019,"一ノ関, 一ノ関駅前広場, 字深町, 一関市, 岩手県, 021-0867, 日本"
一山,一山,35.2069932,134.580808,"一山, 宍粟市, 兵庫県, 日本"
一心杜,一心杜,46.811376,124.3956803,"一心乡, 杜尔伯特蒙古族自治县 ᠳᠥᠷᠪᠡᠳ ᠮᠣᠩᠭᠣᠯ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠤ ᠰᠢᠶᠠᠨ, 大庆市, 黑龙江省, 中国"
一間房,一間房,39.4655333,115.2977932,"一间房, 易县, 保定市, 河北省, 中国"
一面坡,一面坡,45.0594057,128.0753067,"一面坡, 大直街, 尚志市, 哈尔滨市, 黑龙江省, 150600, 中国"
七家子,七家子,42.0352678,121.3441661,"七家子镇, 阜新蒙古族自治县, 阜新市, 辽宁省, 123100, 中国"
七嶺子,七嶺子,41.0882666,123.098557,"七岭子, 立山区, 鞍山市, 辽宁省, 114051, 中国"
七星,七星,25.265694,110.3398776,"七星区, 桂林市, 广西壮族自治区, 541004, 中国"
七星橋,七星橋,25.1363341,121.5041678,"七星橋, 長安里, 北投區, 新北投, 臺北市, 11247, 臺灣"
七里河,七里河,34.7219605,113.7158804,"七里河, 航海东路, 南曹街道, 管城回族区, 郑州市, 河南省, 451450, 中国"
丈嶺,丈嶺,36.5210994,119.5126954,"丈岭, 坊子区, 潍坊市, 山东省, 中国"
三ノ宮,三ノ宮,34.6948605,135.1950871,"三ノ宮, 若菜神戸駅線, 江戸町, 琴ノ緒町二丁目, 中央区, 神戸市, 兵庫県, 651-0094, 日本"
三ノ宮/大阪,三ノ宮/大阪,34.6596091,135.5634022,"三ノ瀬公民館, 布施停車場線, 小路東六丁目, 生野区, 東大阪市, 大阪府, 577-0848, 日本"
三丁,三丁,34.9491612,135.8276166,"三丁, 醍醐大津線, 醍醐北伽藍町, 伏見区, 京都市, 京都府, 601-1351, 日本"
三十家,三十家,41.0126447,119.048356,"三十家, 京沈线, 石桥子, 凌源市, 朝阳市, 辽宁省, 中国"
三十里堡,三十里堡,39.2654536,121.79688,"三十里堡街道, 金州区, 辽宁省, 中国"
三堡,三堡,40.3241484,116.0349725,"三堡, 京藏高速, 黄土岗, 延庆区, 北京市, 中国"
三姓,三姓,33.2102009,116.9193363,"三姓, 蚌埠市, 安徽省, 中国"
三家,三家,30.2861144,105.5312051,"三家镇, 遂宁市, 四川省, 中国"
三家子,三家子,40.8366606,119.3915431,"三家子乡, 朝阳市, 辽宁省, 中国"
三家店,三家店,39.9491196,116.1142284,"三家店, 新建路, 新景家园, 五里坨街道, 石景山区, 北京市, 100042, 中国"
三岔河,三岔河,44.9850621,126.0184333,"扶余, 三岔河大街, 扶余市, 松原市, 吉林省, 中国"
三岔河行,三岔河,44.9850621,126.0184333,"扶余, 三岔河大街, 扶余市, 松原市, 吉林省, 中国"
三峯,三峯,24.716573,121.002178,"三峯, 油田村, 寶山鄉, 新竹縣, 315001, 臺灣"
三峰,三峰,25.8832071,119.3117723,"三峰, 闽侯县, 福建省, 350100, 中国"
三新,三新,29.0454482,112.8141288,"三新, 南大膳镇, 沅江市, 湖南省, 中国"
三日浦,三日浦,38.6847523,128.3042891,"삼일포, 삼일포리, 고성군, 강원도, 조선민주주의인민공화국"
三棵樹,三棵樹,45.787419,126.7029173,"哈尔滨东站, 北棵街, 火车头街道, 道外区, 哈尔滨市, 黑龙江省, 150000, 中国"
三棵樹平房,三棵樹平房,,,
三江,三江,25.7870306,109.6031323,"三江侗族自治县, 柳州市, 广西壮族自治区, 545505, 中国"
三江口,三江口,43.3685586,123.7146774,"三江口, 集锡线, 西场子, 昌图县, 铁岭市, 辽宁省, 中国"
三浪津,三浪津,35.3990296,128.8438715,"삼랑진, 천태로, 송지리, 밀양시, 경상남도, 50467, 대한민국"
三湖通,三湖通,31.8346021,117.9680532,"三户童, 仙踪镇, 含山县, 马鞍山市, 安徽省, 238100, 中国"
三源浦,三源浦,42.0536983,125.7546436,"三源浦 삼원포, Y102, 陈家岗, ​三源浦朝鲜族镇 삼원포조선족진, 柳河县, 通化市, 吉林省, 中国"
三田尻,三田尻,34.0383437,131.5843553,"三田尻大橋, 防府環状線, 協和町, 防府市, 山口県, 747-0825, 日本"
三盛玉,三盛玉,44.5443769,124.7971558,"三盛玉镇, 长春市, 吉林省, 130000, 中国"
三臺子,三臺子,41.3455459,121.5837602,"三台子镇, 凌海市, 辽宁省, 中国"
三西段,三西段,35.6758242,139.7713411,"中華レストラン 三喜屋, 鍛冶橋通り, 京橋二丁目, 京橋, 中央区, 東京都, 104-0031, 日本"
三角,三角,32.6077458,130.4696756,"三角, 国道57号, 宇城市, 熊本県, 861-8799, 日本"
三角線,三角線,45.84794,126.6176789,"三角线, 哈尔滨市, 黑龙江省, 中国"
三貂嶺,三貂嶺,25.0661013,121.8223757,"三貂嶺, 碩仁里, 瑞芳區, 柴寮子, 新北市, 22741, 臺灣"
三道卡,三道卡,35.404404,138.8701454,"三島由紀夫文学館, 国道138号, 山中湖村, 南都留郡, 山梨県, 401-0502, 日本"
三道崗,三道崗,46.1150532,130.1005932,"三道岗镇, 依兰县, 哈尔滨市, 黑龙江省, 154800, 中国"
三道浪頭,三道浪頭,42.4285265,118.4632961,"三道河子, 初头朗镇, 松山区 ᠰᠦᠩ ᠱᠠᠨ ᠲᠣᠭᠣᠷᠢᠭ, 赤峰市 ᠤᠯᠠᠭᠠᠨᠬᠠᠳᠠ ᠬᠣᠲᠠ, 内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ, 024000, 中国"
三道溝,三道溝,40.6261859,120.1854737,"三道沟乡, 葫芦岛市, 辽宁省, 中国"
三道營,三道營,40.9921624,112.2940011,"三道营, 梨花镇, 卓资县 ᠵᠦᠸᠧᠽᠢ ᠰᠢᠶᠠᠨ, 乌兰察布市 ᠤᠯᠠᠭᠠᠨᠴᠠᠪ ᠬᠣᠲᠠ, 内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ, 012300, 中国"
三道通,三道通,45.6802,129.735,"三道通镇, 林口县, 牡丹江市, 黑龙江省, 中国"
三間房,三間房,47.0929596,123.8360052,"三间房, 宾谊路, 榆树屯镇, 昂昂溪区, 齐齐哈尔市, 黑龙江省, 161000, 中国"
三防,三防,25.2495001,108.8421946,"三防镇, 融水苗族自治县, 柳州市, 广西壮族自治区, 中国"
三防峽,三防峽,22.4660772,113.5422806,"三房下街, 南朗街道, 崖口村, 中山市, 广东省, 528454, 中国"
三隆店,三隆店,24.2417259,116.1028624,"三龙水电站, 三角镇, 梅江区, 梅州市, 广东省, 中国"
